analysis,metric,term,estimate_std,se,ci_low,ci_high,z,p_value,n_texts,n_students,converged,aic,p_fdr
near_deduplicated,lexical_density,log_len_z,0.01192696895844434,0.021435330730390615,-0.030086279273121262,0.053940217190009944,0.5564163720382679,0.5779262492605313,3356,364,True,9092.795318295382,
primary,mean_log_frequency_content,level_within,-0.010111489122760163,0.030574064621487866,-0.07003665578087638,0.04981367753535605,-0.3307211274634931,0.7408551421073126,3435,364,True,9317.645346878264,0.7408551421073126
primary,mean_log_frequency_content,level_between,-0.08125983744432667,0.062369224038626665,-0.20350351656003493,0.04098384167138158,-1.3028835727377437,0.19261451303118327,3435,364,True,9317.645346878264,
primary,mean_log_frequency_content,log_len_z,-0.07919172022225479,0.02129303437277585,-0.12092606759289545,-0.03745737285161412,-3.7191373871779,0.0001999043041141423,3435,364,True,9317.645346878264,
paragraph_only,mean_log_frequency_content,level_within,0.022675058027006062,0.04295595911411753,-0.06151862183666429,0.10686873789067641,0.5278675763417857,0.5975912503645587,1576,234,True,4354.264103185011,0.5975912503645587
paragraph_only,mean_log_frequency_content,level_between,-0.15828969516784555,0.07357018540074355,-0.3024872585533029,-0.014092131782388218,-2.1515467754447957,0.03143306798085653,1576,234,True,4354.264103185011,
paragraph_only,mean_log_frequency_content,log_len_z,-0.0194547175901823,0.0279441152916886,-0.07422518356189195,0.03531574838152736,-0.6962008776126365,0.4863030381484976,1576,234,True,4354.264103185011,
min150_words,mean_log_frequency_content,level_within,-0.03911564830405372,0.0354289803936675,-0.10855644987564203,0.03032515326753458,-1.1040579737102785,0.2695679901948783,2678,321,True,7121.21448637966,0.44927998365813054
min150_words,mean_log_frequency_content,level_between,-0.05541272288360588,0.0759998829456375,-0.20437249345705538,0.09354704768984362,-0.729115897760559,0.4659307707135907,2678,321,True,7121.21448637966,
min150_words,mean_log_frequency_content,log_len_z,-0.1435439024834361,0.022436147589144747,-0.1875187517581598,-0.0995690532087124,-6.397885461980414,1.575433894244163e-10,2678,321,True,7121.21448637966,
exact_deduplicated,mean_log_frequency_content,level_within,-0.008580611547385071,0.030804459062961816,-0.06895735131079023,0.05179612821602009,-0.2785509568548825,0.7805894541969507,3394,364,True,9223.767640707927,0.7805894541969507
exact_deduplicated,mean_log_frequency_content,level_between,-0.09232270929496224,0.062319323766373814,-0.21446858387705492,0.029823165287130443,-1.4814459418890167,0.13848778000541775,3394,364,True,9223.767640707927,
exact_deduplicated,mean_log_frequency_content,log_len_z,-0.07813490733852896,0.0214423864259877,-0.12016198473346484,-0.036107829943593066,-3.6439464239778445,0.0002684893315115325,3394,364,True,9223.767640707927,
near_deduplicated,mean_log_frequency_content,level_within,-0.00927318565098563,0.03095886963231232,-0.06995257013031778,0.05140619882834652,-0.2995324364590832,0.764533826698392,3356,364,True,9130.744935928535,0.764533826698392
near_deduplicated,mean_log_frequency_content,level_between,-0.09629366116680238,0.062148264402336006,-0.21810425939538094,0.025516937061776185,-1.5494183480879786,0.12128118587663173,3356,364,True,9130.744935928535,
